사용자ID,계좌번호,종목명,종목코드,거래일시,거래유형,수량,거래단가,설명,,,
user01,1111-1111,한미약품,128940,2022-01-08 09:56,매수,10,122443,기관 매수세 확인 후 동참,,,
user01,1111-1111,NAVER,35420,2022-01-22 12:47,매수,10,83694,주가 조정 구간에서 2차 매수 진입,,,
user01,1111-1111,현대차,5380,2022-06-25 10:11,매수,6,113344,우량주 분할 매수 전략으로 첫 진입,,,
user01,1111-1111,한미약품,128940,2022-11-10 13:55,매도,4,116060,장기 보유 목적으로 리밸런싱,,,
user01,1111-1111,NAVER,35420,2022-11-11 15:07,매수,8,89287,급락에 따른 저가 매수 대응,,,
user01,1111-1111,NAVER,35420,2022-12-03 09:12,매수,8,88180,실적 발표 전 기대감에 따른 추가 매수,,,
user01,1111-1111,현대차,5380,2023-03-31 10:55,매수,9,115301,우량주 분할 매수 전략으로 첫 진입,,,
user01,1111-1111,현대차,5380,2023-04-02 14:34,매수,7,113293,단기 급등 시 일부 차익 실현,,,
user01,1111-1111,NAVER,35420,2024-01-01 15:21,매수,8,82176,실적 발표 전 기대감에 따른 추가 매수,,,
user01,1111-1111,한미약품,128940,2024-05-30 10:11,매수,12,112399,장기 보유 목적으로 리밸런싱,,,
user01,1111-1111,현대차,5380,2024-11-22 11:03,매수,11,116604,기관 매수세 확인 후 동참,,,
user01,1111-1111,현대차,5380,2025-01-06 11:34,매수,8,119093,단기 급등 시 일부 차익 실현,,,
user01,1111-1111,한미약품,128940,2025-02-21 14:33,매도,4,120974,기관 매수세 확인 후 동참,,,
user01,1111-1111,한미약품,128940,2025-03-11 12:15,매도,12,112914,실적 발표 전 기대감에 따른 추가 매수,,,
user02,1111-1112,삼성바이오로직스,207940,2022-03-12 13:34,매수,11,60960,실적 발표 전 기대감에 따른 추가 매수,,,
user02,1111-1112,HMM,11200,2022-08-07 15:12,매도,7,79272,거래량 증가에 따른 추격 매수,,,
user02,1111-1112,삼성바이오로직스,207940,2022-08-08 14:47,매수,12,58317,실적 발표 전 기대감에 따른 추가 매수,,,
user02,1111-1112,HMM,11200,2022-10-12 14:55,매도,3,81055,기관 매수세 확인 후 동참,,,
user02,1111-1112,HMM,11200,2022-10-25 13:53,매수,5,79711,기관 매수세 확인 후 동참,,,
user02,1111-1112,삼성바이오로직스,207940,2024-05-16 14:05,매수,3,61865,장기 보유 목적으로 리밸런싱,,,
user02,1111-1112,삼성바이오로직스,207940,2024-08-18 12:51,매도,9,63940,우량주 분할 매수 전략으로 첫 진입,,,
user02,1111-1112,HMM,11200,2024-11-26 09:20,매수,7,82131,급락에 따른 저가 매수 대응,,,
user02,1111-1112,HMM,11200,2025-03-07 10:48,매수,10,79047,장기 보유 목적으로 리밸런싱,,,
user03,1111-1113,신한지주,55550,2022-03-21 10:56,매도,9,69411,거래량 증가에 따른 추격 매수,,,
user03,1111-1113,신한지주,55550,2022-04-24 09:59,매수,10,72170,단기 급등 시 일부 차익 실현,,,
user03,1111-1113,신한지주,55550,2023-03-08 14:32,매수,11,67680,거래량 증가에 따른 추격 매수,,,
user03,1111-1113,신한지주,55550,2023-11-15 10:43,매수,12,68272,급락에 따른 저가 매수 대응,,,
user03,1111-1113,신한지주,55550,2024-05-27 14:01,매수,10,65997,장기 보유 목적으로 리밸런싱,,,
user04,1111-1114,삼성바이오로직스,207940,2022-06-05 13:51,매수,9,77281,주가 조정 구간에서 2차 매수 진입,,,
user04,1111-1114,셀트리온,68270,2022-09-26 11:57,매도,4,52975,거래량 증가에 따른 추격 매수,,,
user04,1111-1114,삼성바이오로직스,207940,2022-12-31 10:36,매도,8,77899,장기 보유 목적으로 리밸런싱,,,
user04,1111-1114,삼성바이오로직스,207940,2023-01-27 11:00,매수,12,78437,거래량 증가에 따른 추격 매수,,,
user04,1111-1114,포스코홀딩스,5490,2023-03-15 13:01,매수,8,95395,단기 급등 시 일부 차익 실현,,,
user04,1111-1114,포스코홀딩스,5490,2023-04-28 09:46,매수,4,95025,급락에 따른 저가 매수 대응,,,
user04,1111-1114,셀트리온,68270,2023-08-04 11:08,매도,4,56527,기관 매수세 확인 후 동참,,,
user04,1111-1114,포스코홀딩스,5490,2023-09-03 10:06,매도,9,90475,거래량 증가에 따른 추격 매수,,,
user04,1111-1114,포스코홀딩스,5490,2024-04-18 11:06,매수,9,93235,급락에 따른 저가 매수 대응,,,
user04,1111-1114,셀트리온,68270,2024-05-15 11:51,매수,11,53244,실적 발표 전 기대감에 따른 추가 매수,,,
user04,1111-1114,삼성바이오로직스,207940,2025-01-25 09:44,매수,4,74860,단기 급등 시 일부 차익 실현,,,
user05,1111-1115,HMM,11200,2022-03-29 13:53,매수,5,59999,기관 매수세 확인 후 동참,,,
user05,1111-1115,HMM,11200,2022-12-23 14:53,매도,7,56780,기관 매수세 확인 후 동참,,,
user05,1111-1115,HMM,11200,2023-01-03 14:35,매수,8,55936,기관 매수세 확인 후 동참,,,
user05,1111-1115,HMM,11200,2023-11-20 10:10,매수,7,60042,급락에 따른 저가 매수 대응,,,
user06,1111-1116,HMM,11200,2022-05-15 12:48,매수,5,119531,장기 보유 목적으로 리밸런싱,,,
user06,1111-1116,한미약품,128940,2022-06-15 11:29,매수,11,66011,거래량 증가에 따른 추격 매수,,,
user06,1111-1116,한화에어로스페이스,12450,2022-08-20 12:58,매수,10,68354,거래량 증가에 따른 추격 매수,,,
user06,1111-1116,한국전력,15760,2022-10-11 10:46,매수,3,56798,주가 조정 구간에서 2차 매수 진입,,,
user06,1111-1116,한국전력,15760,2022-10-24 12:16,매수,3,60513,단기 급등 시 일부 차익 실현,,,
user06,1111-1116,한화에어로스페이스,12450,2022-11-04 13:37,매수,7,68848,거래량 증가에 따른 추격 매수,,,
user06,1111-1116,한미약품,128940,2022-12-10 11:17,매도,3,69123,기관 매수세 확인 후 동참,,,
user06,1111-1116,한국전력,15760,2023-02-14 12:39,매수,10,56702,기관 매수세 확인 후 동참,,,
user06,1111-1116,한국전력,15760,2023-09-27 12:12,매도,6,58400,장기 보유 목적으로 리밸런싱,,,
user06,1111-1116,한미약품,128940,2023-11-30 12:20,매수,10,63696,주가 조정 구간에서 2차 매수 진입,,,
user06,1111-1116,HMM,11200,2023-12-01 14:16,매수,12,113490,주가 조정 구간에서 2차 매수 진입,,,
user06,1111-1116,한화에어로스페이스,12450,2024-01-28 12:47,매수,11,66621,급락에 따른 저가 매수 대응,,,
user06,1111-1116,HMM,11200,2024-04-18 11:04,매수,12,110437,실적 발표 전 기대감에 따른 추가 매수,,,
user06,1111-1116,한화에어로스페이스,12450,2024-10-11 09:44,매도,10,65772,실적 발표 전 기대감에 따른 추가 매수,,,
user06,1111-1116,한화에어로스페이스,12450,2024-10-28 13:00,매수,8,65246,우량주 분할 매수 전략으로 첫 진입,,,
user06,1111-1116,HMM,11200,2024-12-10 14:23,매도,10,116329,장기 보유 목적으로 리밸런싱,,,
